Name,Role,Party,Treaty,Date,Location,Geocoordinates
Saml. Montgomery,Witness,United States,Treaty with the Six Nations,October 22 1784,Fort Stanwix,"43.210575, -75.455287"
Capt. Derick Lane,Witness,United States,Treaty with the Six Nations,October 22 1784,Fort Stanwix,"43.210575, -75.455287"
John Mercer,"Pennsylvania Commissioner,  Lieutenant",United States,Treaty with the Six Nations,October 22 1784,Fort Stanwix,"43.210575, -75.455287"
Aaron Hill,Pennsylvania Commissioner,United States,Treaty with the Six Nations,October 22 1784,Fort Stanwix,"43.210575, -75.455287"
Alexander Campbell,Pennsylvania Commissioner,United States,Treaty with the Six Nations,October 22 1784,Fort Stanwix,"43.210575, -75.455287"
Saml. Kirkland,"Pennsylvania Commissioner, Missionary",United States,Treaty with the Six Nations,October 22 1784,Fort Stanwix,"43.210575, -75.455287"
William Pennington,"Pennsylvania Commissioner,  Lieutenant",United States,Treaty with the Six Nations,October 22 1784,Fort Stanwix,"43.210575, -75.455287"
Mahlon Elord,Pennsylvania Commissioner,United States,Treaty with the Six Nations,October 22 1784,Fort Stanwix,"43.210575, -75.455287"
Hugh Peebles,Pennsylvania Commissioner,United States,Treaty with the Six Nations,October 22 1784,Fort Stanwix,"43.210575, -75.455287"
Go. Clark,,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Richard Butler,,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Arthur Lee,,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Daunghquat,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Abraham Kuhn,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Ottawerreri,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Hobocan,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Walendightun,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Quecookkia,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Talapoxic,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Wingenum,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Packelant,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Gingewanno,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Waanoos,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Konalawassee,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Shawnaquin,Sachem or Warrior,"Wyandot, Delaware, Chippawa or Ottawa Nation",Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Sam. Jo. Atlee,Witness,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Fras. Johnston,Witness,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
I. Bradford,Witness,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
George Slaughter,Witness,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Alexander Campbell,Pennsylvania Commissioner,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Jos. Harmar,"Pennsylvania Commissioner, Lieutenant-Colonel Commandant",United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Alex Lowrey,Pennsylvania Commissioner,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Joseph Nicholas,"Pennsylvania Commissioner, United States Interpreter",United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
Van Swearingen,Pennsylvania Commissioner,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
John Boggs,Pennsylvania Commissioner,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
G. Evans,Pennsylvania Commissioner,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
D. Luckett,Pennsylvania Commissioner,United States,Treaty with the Wyandot,January 21 1785,Fort M'Intosh,"40.696736, -80.305420"
